AVG_ERR MAX_ERR HITS TIME
0.223378 0.68246 8 0.0083396
0.177816 0.606681 7 0.0163538
0.147185 0.496097 8 0.023932
0.126244 0.481938 6 0.0314776
0.11182 0.585786 6 0.0385406
0.100135 0.523339 8 0.0454895
0.0938554 0.508017 7 0.0524431
0.0862659 0.624873 6 0.0588778
0.0771766 0.358162 7 0.0659117
0.0807269 0.594813 6 0.0684203
0.0751125 0.677091 6 0.0734098
0.0718238 0.541325 6 0.0767887
0.0749011 0.628814 6 0.0799195
0.0709189 0.476749 6 0.0827738
0.072625 0.51325 6 0.0831432
0.0696369 0.516037 6 0.0870004
0.0686514 0.592357 7 0.0861512
0.0688815 0.594009 7 0.0876745
0.0699625 0.555902 6 0.0889811
0.0699945 0.452921 7 0.0891547
